round;position;Driver;Predicted driver;Cote Top 3;Model
12;1;Verstappen;Verstappen;1,2;Decision tree
12;2;Russell;Russell;2,8;Decision tree
12;3;Hamilton;Hamilton;1,2;Decision tree
13;1;Verstappen;Verstappen;1,2;Decision tree
13;2;Hamilton;Hamilton;1,2;Decision tree
13;3;Bottas;Bottas;2,8;Decision tree
14;1;Ricciardo;Verstappen;1,2;Decision tree
14;2;Norris;Ricciardo;25;Decision tree
14;3;Bottas;Hamilton;1,2;Decision tree
15;1;Hamilton;Norris;2;Decision tree
15;2;Verstappen;Sainz;2,6;Decision tree
15;3;Sainz;Hamilton;1,2;Decision tree
16;1;Bottas;Bottas;2,7;Decision tree
16;2;Verstappen;Verstappen;1,2;Decision tree
16;3;Pérez;Pérez;2,7;Decision tree
18;1;Verstappen;Hamilton;1,2;Decision tree
18;2;Hamilton;Bottas;2,6;Decision tree
18;3;Pérez;Verstappen;1,2;Decision tree
19;1;Hamilton;Bottas;2,6;Decision tree
19;2;Verstappen;Verstappen;1,2;Decision tree
19;3;Bottas;Sainz;2,9;Decision tree
21;1;Hamilton;Hamilton;1,2;Decision tree
21;2;Verstappen;Bottas;2,6;Decision tree
21;3;Bottas;Verstappen;1,2;Decision tree
22;1;Verstappen;Verstappen;1,2;Decision tree
22;2;Hamilton;Hamilton;1,2;Decision tree
22;3;Sainz;Pérez;2,9;Decision tree
